243,bull mastiff,0.5428480505943298
282,tiger cat,0.19302071630954742
242,boxer,0.10428418964147568
281,tabby,0.04338116943836212
245,French bulldog,0.015798885375261307
753,radiator,0.011794648133218288
180,American Staffordshire terrier,0.008192513138055801
811,space heater,0.008162125945091248
292,tiger,0.007935523986816406
285,Egyptian cat,0.007661588490009308
543,dumbbell,0.005223944783210754
539,doormat,0.004260221030563116
882,vacuum,0.0035040949005633593
478,carton,0.0025941161438822746
179,Staffordshire bullterrier,0.0024891903158277273
