60,night snake,0.48217329382896423
56,king snake,0.38901397585868835
68,sidewinder,0.05009915679693222
66,horned viper,0.014573318883776665
53,ringneck snake,0.011888205073773861
65,sea snake,0.01007356308400631
58,water snake,0.008352838456630707
54,hognose snake,0.006331136915832758
63,Indian cobra,0.006022971589118242
38,banded gecko,0.005009975749999285
52,thunder snake,0.0040532685816287994
67,diamondback,0.0036992712412029505
62,rock python,0.0031997370533645153
59,vine snake,0.001837969641201198
61,boa constrictor,0.0007602988625876606
