243,bull mastiff,0.460594117641449
245,French bulldog,0.1910039186477661
254,pug,0.18120072782039642
242,boxer,0.06915414333343506
281,tabby,0.009779544547200203
180,American Staffordshire terrier,0.008320547640323639
539,doormat,0.005990325938910246
179,Staffordshire bullterrier,0.004518243484199047
811,space heater,0.004419875331223011
282,tiger cat,0.003868900705128908
453,bookcase,0.003773459931835532
753,radiator,0.0026720797177404165
182,Border terrier,0.0023251737002283335
999,toilet tissue,0.0022029411047697067
534,dishwasher,0.002199827693402767
